target_screen_name,target_party,target,source,source_party,label,weight
AfDProtschka,AfD,8,451,AfD,Jörg Schneider,13
AfDProtschka,AfD,8,468,AfD,Stephan Brandner,9
AfDProtschka,AfD,8,518,AfD,Udo Hemmelgarn,15
AfDProtschka,AfD,8,531,AfD,Ulrike Schielke-Ziesing,1
AfDProtschka,AfD,8,552,AfD,Wolfgang Wiehle,1
AfDProtschka,AfD,8,6,AfD,AfD,30
AfDProtschka,AfD,8,7,AfD,AfD Bundestag,1
AfDProtschka,AfD,8,8,AfD,Stephan Protschka,1
agnieszka_mdb,Greens,10,129,Greens,Harald Ebner,1
agnieszka_mdb,Greens,10,131,Greens,Ekin Deligöz,1
agnieszka_mdb,Greens,10,136,Greens,Erhard Grundl,1
agnieszka_mdb,Greens,10,17,FDP,Alexander Müller,1
agnieszka_mdb,Greens,10,177,Greens,Katrin Göring-Eckardt,1
agnieszka_mdb,Greens,10,183,Greens,Beate Müller-Gemmeke,1
agnieszka_mdb,Greens,10,184,Greens,Die Gruenen Bundestag,7
agnieszka_mdb,Greens,10,194,The Left,Anja Hajduk,4
agnieszka_mdb,Greens,10,244,Greens,Jürgen Trittin,1
agnieszka_mdb,Greens,10,252,Greens,Kordula Schulz-Asche,1
agnieszka_mdb,Greens,10,256,Greens,Kai Gehring[210],2
agnieszka_mdb,Greens,10,263,Greens,Katharina Dröge,4
agnieszka_mdb,Greens,10,264,Greens,Katja Dörner,2
agnieszka_mdb,Greens,10,265,Greens,Katja Keul,6
agnieszka_mdb,Greens,10,3,Greens,Annalena Baerbock,1
agnieszka_mdb,Greens,10,321,Greens,Margarete Bause,1
agnieszka_mdb,Greens,10,337,Greens,Matthias Gastel,1
agnieszka_mdb,Greens,10,391,Greens,Omid Nouripour,1
agnieszka_mdb,Greens,10,430,Greens,Renate Künast,1
AkbulutGokay,The Left,11,107,The Left,Die Linke,1
AkbulutGokay,The Left,11,117,The Left,Doris Achelwilm,4
AkbulutGokay,The Left,11,153,Greens,Filiz Polat,1
AkbulutGokay,The Left,11,168,The Left,Friedrich Straetmanns,2
AkbulutGokay,The Left,11,207,The Left,Evrim Sommer,1
AkbulutGokay,The Left,11,266,The Left,Katja Kipping,2
AkbulutGokay,The Left,11,28,The Left,Andrej Hunko,1
AkbulutGokay,The Left,11,294,The Left,Lorenz Gösta Beutin,2
AkbulutGokay,The Left,11,298,The Left,Die Linke Bundestag,71
AkbulutGokay,The Left,11,322,Greens,Margit Stumpp,2
AkbulutGokay,The Left,11,361,The Left,Michel Brandt,1
