label,id,party
Ottmar von Holtz,188,Greens
Irene Mihalic,307,Greens
Charlotte Schneidewind-Hartnagel,427,Greens
Stefan Schmidt,423,Greens
Bärbel Bas,22,SPD
Canan Bayram,26,Greens
Uwe Kekeritz,212,Greens
Florian Toncar,493,FDP
FDP,554,FDP
Mathias Stein,469,SPD
Johannes Vogel,503,FDP
Pascal Kober,230,FDP
Sandra Bubendorfer-Licht,57,FDP
Linda Teuteberg,485,FDP
Bettina Stark-Watzinger,463,FDP
Konstantin Kuhle,251,FDP
Christian Dürr,87,FDP
Michael Georg Link,278,FDP
Till Mansmann,293,FDP
Nicole Westig,527,FDP
Benjamin Strasser,478,FDP
Stephan Thomae,488,FDP
Katrin Helling-Plahr,164,FDP
Bijan Djir-Sarai,82,FDP
Manfred Todtenhausen,492,FDP
Karlheinz Busen,63,FDP
Karsten Klein,223,FDP
Renata Alt,5,FDP
Grigorios Aggelidis,3,FDP
Judith Skudelny,452,FDP
Marco Buschmann,62,FDP
Ulla Ihnen,192,FDP
Roman Müller-Böhm,328,FDP
Matthias Seestern-Pauly,443,FDP
Torsten Herbst,170,FDP
Alexander Graf Lambsdorff,258,FDP
Ulrich Lechte,266,FDP
Manuel Höferlin,180,FDP
Katja Hessel,174,FDP
Mario Brandenburg,43,FDP
Jens Beeck,27,FDP
Jens Spahn,456,CDU
Carl-Julius Cronenberg,72,FDP
Wolfgang Hellmich,165,SPD
Lothar Binding,38,SPD
Mahmut Özdemir,354,SPD
Hubertus Heil,158,SPD
Daniela Kolbe,234,SPD
Ulla Jelpke,196,The Left
Gregor Gysi,140,The Left
Mechthild Heil,159,CDU
Gero Storjohann,475,CDU
Marcus Weinberg,521,CDU
Björn Simon,449,CDU
Helge Braun,48,CDU
Hermann Gröhe,132,CDU
Heribert Hirte,177,CDU
Gitta Connemann,70,CDU
Michael Grosse-Brömer,134,CDU
Heike Brehmer,52,CDU
Albert Stegemann,467,CDU
Tino Sorge,455,CDU
Gisela Manderla,292,CDU
Roderich Kiesewetter,218,CDU
Axel Knoerig,229,CDU
Jürgen Hardt,149,CDU
Peter Altmaier,7,CDU
Anja Weisgerber,523,CSU
Thomas Heilmann,160,CDU
Karin Maag,286,CDU
Kai Whittaker,530,CDU
Jan-Marco Luczak,281,CDU
Olav Gutting,139,CDU
Kai Wegner,518,CDU
Alexander Throm,489,CDU
Marc Biadacz,36,CDU
Markus Uhl],498,CDU
Silvia Breher,50,CDU
Torbjörn Kartes,209,CDU
Christoph Bernstiel,33,CDU
Thomas Jarzombek,195,CDU
Thomas Silberhorn,448,CSU
Maik Beermann,29,CDU
Peter Beyer,35,CDU
CDU,546,CDU
Torsten Schweiger,442,CDU
Elisabeth Motschmann,316,CDU
Ronja Kemmer,213,CDU
Thorsten Frei,110,CDU
Florian Hahn,143,CSU
Michael Kießling,219,CSU
Ingmar Jung,200,CDU
Steffen Bilger,37,CDU
Sylvia Pantel,356,CDU
Rüdiger Kruse,249,CDU
Alois Rainer,380,CSU
Daniela Ludwig,282,CSU
Katrin Staffler,461,CSU
Roy Kühne,254,CDU
Patrick Sensburg,445,CDU
Thomas Erndl,94,CSU
Saskia Ludwig,283,CDU
Florian Oßner,349,CSU
Peter Stein,470,CDU
Michael von Abercron,1,CDU
Yvonne Magwas,290,CDU
Reinhard Brandl,44,CSU
Klaus-Dieter Gröhler,133,CDU
Hansjörg Durz,88,CSU
Jens Koeppen,231,CDU
Christoph de Vries,508,CDU
Thomas Gebhart,120,CDU
Volker Ullrich,501,CSU
Sebastian Brehm,51,CSU
Wolfgang Stefinger,466,CSU
Markus Grübel,136,CDU
Michael Frieser,113,CSU
Birke Bull-Bischoff,60,The Left
Tobias Peterka,364,AfD
Josephine Ortleb,348,SPD
Metin Hakverdi,145,SPD
Cansel Kiziltepe,222,SPD
Alexander Kulitz,255,FDP
Frank Junge,201,SPD
Elisabeth Kaiser,204,SPD
Siemtje Möller,313,SPD
CSU,547,CSU
Dennis Rohde,391,SPD
Dietmar Bartsch,21,The Left
Eva Schreiber,431,The Left
Isabel Mackensen-Geis,288,SPD
Florian Pronold,376,SPD
Ulrike Bahr,15,SPD
Tobias Lindner,277,Greens
Ernst Dieter Rossmann,393,SPD
Michael Schrodi,433,SPD
Johann Saathoff,404,SPD
Florian Post,375,SPD
Hilde Mattheis,300,SPD
Karamba Diaby,79,SPD
Sahra Wagenknecht,511,The Left
Jens Zimmermann,543,SPD
Frank Müller-Rosentritt,330,FDP
Angelika Glöckner,125,SPD
Frauke Petry,366,Independent (ex AfD)
Gerhard Zickenheiner,540,Greens
Lisa Badum,13,Greens
Bärbel Kofler,232,SPD
Falko Mohrs,311,SPD
Dorothee Martin,295,SPD
Heiko Maas,287,SPD
Oliver Kaczmarek,203,SPD
Dagmar Schmidt,422,SPD
Karl-Heinz Brunner,56,SPD
Stephan Pilsinger,368,CSU
Sonja Steffen,465,SPD
Josip Juratovic,202,SPD
Bernd Westphal,528,SPD
Martina Stamm-Fibich,462,SPD
Jochen Haug,154,AfD
Fabian Jacobi,193,AfD
Axel Fischer,106,CDU
Felix Schreiner,432,CDU
Carsten Träger,495,SPD
Markus Paschke,357,SPD
Nina Scheer,412,SPD
Karl Lauterbach,263,SPD
Bela Bach,12,SPD
Alexander Hoffmann,181,CSU
Helge Lindh,274,SPD
Thomas Oppermann,347,SPD
Michael Thews,487,SPD
Andreas Schwarz,440,SPD
Martin Patzelt,359,CDU
Olaf Scholz,557,SPD
Sarah Ryglewski,403,SPD
Christoph Matschie,298,SPD
Gabriela Heinrich,162,SPD
Claudia Moll,312,SPD
Ulrich Freese,109,SPD
Frank Magnitz,289,AfD
Jan Nolte,341,AfD
Beate Walter-Rosenheimer,514,Greens
Yasmin Fahimi,100,SPD
Edgar Franke,108,SPD
Frank Steffel,464,CDU
Jana Schimke,417,CDU
Martin Schulz,434,SPD
Mechthild Rawert,381,SPD
Hermann Otto Solms,453,FDP
Tabea Rößner,394,Greens
Ulle Schauws,411,Greens
