label,party,id
Ulrike Schielke-Ziesing,AfD,416
Ute Vogt,SPD,505
Uwe Kekeritz,Greens,212
Uwe Schulz,AfD,435
Uwe Witt,AfD,538
Victor Perli,The Left,363
Volker Ullrich,CSU,501
Wieland Schinnenburg,FDP,418
Wolfgang Hellmich,SPD,165
Wolfgang Stefinger,CSU,466
Wolfgang Strengmann-Kuhn,Greens,479
Wolfgang Wiehle,AfD,532
Yasmin Fahimi,SPD,100
Yvonne Magwas,CDU,290
Zaklin Nastic,The Left,333
Harald Weinberg,The Left,520
Jörg Cezanne,The Left,67
Karsten Hilse,AfD,175
Rüdiger Lucassen,AfD,280
Gottfried Curio,AfD,73
Günter Krings,CDU,247
Paul Podolay,AfD,370
Bruno Hollnagel,AfD,186
Jörn König,AfD,236
Bernd Baumann,AfD,24
Stefan Keuter,AfD,217
Johannes Huber,AfD,190
Frank Magnitz,AfD,289
Ulrich Oehme,AfD,345
Waldemar Herdt,AfD,171
Johannes Fechner,SPD,101
Robby Schlund,AfD,420
Heiko Wildberg,AfD,534
Wilhelm von Gottberg,AfD,128
Lothar Maier,AfD,291
Anton Hofreiter,Greens,184
Gabriela Heinrich,SPD,162
Hermann Otto Solms,FDP,453
Uwe Kamann,LKR (ex AfD),205
Peter Weiß,CDU,524
Frank Heinrich,CDU,161
Albert Stegemann,CDU,467
Alexander Radwan,CSU,379
Tabea Rößner,Greens,394
Sebastian Brehm,CSU,51
Christian von Stetten,CDU,473
Matthias Heider,CDU,156
Jan Metzler,CDU,303
Jens Koeppen,CDU,231
Gustav Herzog,SPD,172
Beate Walter-Rosenheimer,Greens,514
Wiebke Esdar,SPD,96
Ulle Schauws,Greens,411
Philipp Amthor,CDU,8
Fritz Güntzler,CDU,138
Martin Rabanus,SPD,378
Rainer Spiering,SPD,458
Kees de Vries,CDU,509
Josef Oster,CDU,350
Volkmar Klein,CDU,224
Silke Launert,CSU,262
Wilfried Oellers,CDU,346
Dietrich Monstadt,CDU,314
Ulrich Lange,CSU,261
Sybille Benning,CDU,31
Florian Oßner,CSU,349
Andreas Mattfeldt,CDU,299
Gunther Krichbaum,CDU,246
Thomas Lutze,The Left,285
Esther Dilcher,SPD,80
Udo Schiefner,SPD,415
Bernd Rützel,SPD,402
Susann Rüthrich,SPD,401
Mechthild Rawert,SPD,381
Anette Kramme,SPD,244
Ulrike Bahr,SPD,15
Rita Hagl-Kehl,SPD,142
Daniela De Ridder,SPD,387
Roman Müller-Böhm,FDP,328
Ralf Kapschack,SPD,207
Dirk Heidenblut,SPD,155
Bernd Siebert,CDU,447
Markus Koob,CDU,238
Sylvia Lehmann,SPD,268
Armin-Paul Hampel,AfD,146
Uwe Feiler,CDU,102
Peter Aumer,CSU,11
