id,label,party
177,Katrin Göring-Eckardt,Greens
178,Gottfried Curio,AfD
179,Gregor Gysi,The Left
18,Alice Weidel,AfD
180,Hermann Gröhe,CDU
181,Markus Grübel,CDU
182,Claudia Müller,Greens
183,Beate Müller-Gemmeke,Greens
184,Die Gruenen Bundestag,Greens
185,Götz Frömming,AfD
189,Gyde Jensen,FDP
19,Alois Rainer,CSU
190,Gerhard Zickenheiner,Greens
191,Harald Weyel,AfD
192,Thomas Hacker,FDP
193,Florian Hahn,CSU
194,Anja Hajduk,The Left
195,Hansjörg Durz,CSU
197,Hartmut Ebbing,FDP
198,Helge Braun,CDU
199,Heike Brehmer,CDU
2,Angelika Glöckner,SPD
200,Heike Hänsel,The Left
202,Heiko Maas,SPD
203,Helge Lindh,SPD
204,Wolfgang Hellmich,SPD
205,Markus Herbrand,FDP
206,Marcel Emmerich,Greens
207,Evrim Sommer,The Left
208,Heribert Hirte,CDU
209,Hilde Mattheis,SPD
21,Amira Mohamed Ali,The Left
211,Alexander Hoffmann,CSU
212,Christoph Hoffmann,FDP
213,Reinhard Houben,FDP
215,Hubertus Heil,SPD
216,Ingmar Jung,CDU
217,Ingrid Nestle,Greens
218,Irene Mihalic,Greens
219,Isabel Mackensen-Geis,SPD
22,Andreas Wagner (politician),The Left
220,Fabian Jacobi,AfD
221,Jan Nolte,AfD
222,Jana Schimke,CDU
223,Jan Korte,The Left
225,Jens Brandenburg,FDP
226,Jens Beeck,FDP
227,Jens Koeppen,CDU
228,Jens Spahn,CDU
229,Jens Zimmermann,SPD
231,Jan-Marco Luczak,CDU
232,Joana Cotar,AfD
233,Jochen Haug,AfD
234,Jörg Cezanne,The Left
236,Johann Saathoff,SPD
237,Johannes Vogel,FDP
239,Josephine Ortleb,SPD
24,Andreas Rimkus,SPD
240,Josip Juratovic,SPD
241,Johannes Steiniger,CDU
242,Johann Wadephul,CDU
243,Johannes Schraps,SPD
244,Jürgen Trittin,Greens
245,Judith Skudelny,FDP
246,Jürgen Martens,FDP
247,Jürgen Braun,AfD
248,Jürgen Hardt,CDU
249,Julia Verlinden,Greens
250,Frank Junge,SPD
251,Jutta Krellmann,The Left
252,Kordula Schulz-Asche,Greens
253,Katharina Willkomm,FDP
254,Oliver Kaczmarek,SPD
255,Kai Whittaker,CDU
256,Kai Gehring[210],Greens
257,Elisabeth Kaiser,SPD
258,Kai Wegner,CDU
259,Karamba Diaby,SPD
26,Andreas Scheuer,CSU
260,Karl Lauterbach,SPD
263,Katharina Dröge,Greens
264,Katja Dörner,Greens
265,Katja Keul,Greens
266,Katja Kipping,The Left
267,Katja Mast,SPD
268,Katja Suding,FDP
269,Katrin Staffler,CSU
27,Andreas Steier,CDU
270,Katrin Werner,The Left
271,Katrin Helling-Plahr,FDP
272,Kay Gottschalk,AfD
273,Klaus-Dieter Gröhler,CDU
275,Kerstin Griese,SPD
276,Jens Kestner,AfD
277,Michael Kießling,CSU
278,Kirsten Kappert-Gonther,Greens
279,Kirsten Tackmann,The Left
28,Andrej Hunko,The Left
280,Klaus Mindrup,SPD
281,Katja Leikert,CDU
282,Lukas Köhler,FDP
283,Konstantin Kuhle,FDP
284,Konstantin von Notz,Greens
286,Elvan Korkmaz,SPD
288,Alexander Graf Lambsdorff,FDP
289,Lars Castellucci,SPD
290,Lars Klingbeil,SPD
292,Leif-Erik Holm,AfD
293,Leni Breymaier,SPD
294,Lorenz Gösta Beutin,The Left
295,Canan Bayram,Greens
296,Linda Teuteberg,FDP
297,Sören Pellmann,The Left
298,Die Linke Bundestag,The Left
299,Lisa Paus,Greens
3,Annalena Baerbock,Greens
30,Anja Karliczek,CDU
300,Gesine Lötzsch,The Left
301,Lothar Binding,SPD
302,Mariana Harder-Kühnel,AfD
303,Martin Reichardt,AfD
304,Marianne Schieder,SPD
305,Karin Maag,CDU
306,Maik Beermann,CDU
307,Gisela Manderla,CDU
309,Manuela Rottmann,Greens
31,Anja Weisgerber,CSU
310,Manuel Höferlin,FDP
311,Manuel Sarrazin,Greens
312,Marc Jongen,AfD
313,Marc Bernhard,AfD
314,Marc Henrichmann,CDU
316,Marco Buschmann,FDP
317,Marcus Bühl,AfD
318,Marcus Faber,FDP
32,Anke Domscheit-Berg,The Left
320,Marcus Weinberg,CDU
321,Margarete Bause,Greens
322,Margit Stumpp,Greens
323,Maria Klein-Schmeink,Greens
324,Marian Wendt,CDU
325,Marja-Liisa Völlers,SPD
326,Markus Kurth,Greens
327,Markus Paschke,SPD
328,Markus Tressel,Greens
329,Martin Hess,AfD
33,Anna Christmann,Greens
330,Martin Sichert,AfD
331,Martina Renner,The Left
333,Martin Rosemann,SPD
334,Martin Schulz,SPD
335,Marie-Agnes Strack-Zimmermann,FDP
336,Christoph Matschie,SPD
337,Matthias Gastel,Greens
338,Matthias Hauer,CDU
34,Antje Tillmann,CDU
340,Matthias Höhn,The Left
341,Matthias Nölke,FDP
342,Marc Biadacz,CDU
343,Rüdiger Lucassen,AfD
344,Eva Schreiber,The Left
345,Ulrike Bahr,SPD
346,Karsten Klein,FDP
349,Mechthild Heil,CDU
35,Armin Schuster,CDU
350,Mechthild Rawert,SPD
351,Michael Meister,CDU
352,Metin Hakverdi,SPD
353,Christoph Meyer,FDP
354,Michael Grosse-Brömer,CDU
355,Michelle Müntefering,SPD
356,Michael Georg Link,FDP
357,Michael Thews,SPD
358,Michael Frieser,CSU
36,Annette Widmann-Mauz,CDU
361,Michel Brandt,The Left
363,Michael Roth,SPD
364,Michael Schrodi,SPD
365,Monika Lazar,Greens
366,Martin Patzelt,CDU
367,Andreas Mrosek,AfD
368,Matthias Seestern-Pauly,FDP
369,Manfred Todtenhausen,FDP
37,Axel Fischer,CDU
371,Sepp Müller,CDU
372,Roman Müller-Böhm,FDP
373,Detlef Müller,SPD
374,Michael von Abercron,CDU
375,Matthias W. Birkwald,The Left
376,Norbert Röttgen,CDU
377,Nadine Schön,CDU
38,Axel Knoerig,CDU
380,Nicole Bauer,FDP
381,Nicole Höchst,AfD
382,Nicole Gohlke,The Left
383,Nicole Westig,FDP
384,Niels Annen,SPD
385,Niema Movassat,The Left
386,Nils Schmid,SPD
387,Nina Scheer,SPD
388,Nina Warken,CDU
389,Norbert Kleinwächter,AfD
390,Norbert Müller,The Left
391,Omid Nouripour,Greens
392,Mahmut Özdemir,SPD
393,Aydan Özoğuz,SPD
394,Olaf in der Beek,FDP
395,Olaf Scholz,SPD
396,Olav Gutting,CDU
397,Oliver Krischer,Greens
398,Oliver Luksic,FDP
399,Otto Fricke,FDP
4,Achim Post,SPD
40,Bernd Riexinger,The Left
400,Ottmar von Holtz,Greens
401,Pascal Kober,FDP
402,Pascal Meiser,The Left
403,Patrick Sensburg,CDU
406,Paul Ziemiak,CDU
407,Peter Beyer,CDU
408,Peter Stein,CDU
409,Peter Altmaier,CDU
41,Lisa Badum,Greens
411,Peter Boehringer,AfD
412,Peter Felser,AfD
413,Peter Heidt,FDP
414,Peter Tauber,CDU
416,Petra Sitte,The Left
417,Petra Pau,The Left
418,Petr Bystron,AfD
42,Bärbel Bas,SPD
420,Jürgen Pohl,AfD
422,Lothar Maier,AfD
423,Patrick Schnieder,CDU
424,Roland Hartwig,AfD
426,Ralph Brinkhaus,CDU
427,Reinhard Brandl,CSU
428,Hagen Reinhold,FDP
429,Renata Alt,FDP
43,Bärbel Kofler,SPD
430,Renate Künast,Greens
431,René Springer,AfD
432,Martin Renner,AfD
433,Bernd Reuther,FDP
434,Rita Schwarzelühr-Sutter,SPD
437,Roderich Kiesewetter,CDU
438,Ronja Kemmer,CDU
439,Rüdiger Kruse,CDU
44,Beate Walter-Rosenheimer,Greens
441,Sarah Ryglewski,SPD
442,Sebastian Münzenmaier,AfD
443,Stefan Schwartze,SPD
444,Sabine Leidig,The Left
446,Sandra Weeser,FDP
447,Saskia Ludwig,CDU
448,Simone Barrientos,The Left
45,Beatrix von Storch,AfD
450,Stefan Schmidt,Greens
451,Jörg Schneider,AfD
452,Carsten Schneider,SPD
453,Andreas Schwarz,SPD
454,Sebastian Hartmann,SPD
455,Sevim Dağdelen,The Left
457,Siemtje Möller,SPD
458,Thomas Silberhorn,CSU
459,Stefan Müller,CSU
46,Bela Bach,SPD
460,Sönke Rix,SPD
461,Sören Bartol,SPD
462,Hermann Otto Solms,FDP
463,SPD Bundestag,SPD
464,SPD,SPD
465,Svenja Stadler,SPD
466,Martina Stamm-Fibich,SPD
467,Bettina Stark-Watzinger,FDP
468,Stephan Brandner,AfD
469,Stefan Gelbhaar,Greens
47,Stefan Liebich,The Left
470,Stefan Kaufmann,CDU
472,Stefan Rouenhoff,CDU
473,Steffen Bilger,CDU
474,Steffen Kotré,AfD
475,Sonja Steffen,SPD
476,Steffi Lemke,Greens
477,Wolfgang Stefinger,CSU
478,Albert Stegemann,CDU
479,Sebastian Steineke,CDU
48,Bernd Baumann,AfD
480,Stephan Kühn,Greens
481,Stephan Thomae,FDP
482,Stephan Pilsinger,CSU
483,Mathias Stein,SPD
484,Susanne Ferschl,The Left
486,Sven-Christian Kindler,Greens
487,Sven Lehmann,Greens
488,Sahra Wagenknecht,The Left
490,Sylvia Gabelmann,The Left
491,Sylvia Pantel,CDU
492,Tabea Rößner,Greens
493,Thomas Erndl,CSU
494,Thomas Sattelberger,FDP
495,Thomas Seitz,AfD
496,Frank Müller-Rosentritt,FDP
498,Thomas Bareiß,CDU
499,Thomas Ehrhorn,AfD
5,Achim Kessler,The Left
50,Bernd Westphal,SPD
500,Thomas Gebhart,CDU
501,Thomas Heilmann,CDU
502,Thomas Hitschler,SPD
503,Thomas Oppermann,SPD
504,Thorsten Frei,CDU
505,Till Mansmann,FDP
506,Timon Gremmels,SPD
507,Tino Chrupalla,AfD
508,Tino Sorge,CDU
509,Thomas Jarzombek,CDU
510,Tobias Lindner,Greens
511,Tobias Peterka,AfD
512,Markus Töns,SPD
514,Torbjörn Kartes,CDU
515,Torsten Herbst,FDP
516,Tobias Pflüger,The Left
517,Tankred Schipanski,CDU
518,Udo Hemmelgarn,AfD
52,Bettina Müller,SPD
520,Markus Uhl],CDU
521,Ulrich Freese,SPD
522,Uli Grötsch,SPD
523,Ulla Ihnen,FDP
524,Ulla Jelpke,The Left
525,Ulle Schauws,Greens
526,Ulli Nissen,SPD
527,Andrew Ullmann,FDP
53,Bettina Hoffmann,Greens
530,Ulrich Lechte,FDP
531,Ulrike Schielke-Ziesing,AfD
532,Ute Vogt,SPD
534,Uwe Schulz,AfD
536,Uwe Kekeritz,Greens
537,Victor Perli,The Left
539,Kathrin Vogler,The Left
54,Birke Bull-Bischoff,The Left
540,Volker Ullrich,CSU
543,Christoph de Vries,CDU
545,Wolfgang Strengmann-Kuhn,Greens
547,Marco Wanderwitz,CDU
55,Björn Simon,CDU
550,Uwe Witt,AfD
552,Wolfgang Wiehle,AfD
553,Wieland Schinnenburg,FDP
554,Yvonne Magwas,CDU
555,Zaklin Nastic,The Left
556,Hubertus Zdebel,The Left
56,Mario Brandenburg,FDP
57,Silvia Breher,CDU
58,Sebastian Brehm,CSU
59,Britta Haßelmann,Greens
6,AfD,AfD
60,Britta Dassler,FDP
61,Karl-Heinz Brunner,SPD
62,Benjamin Strasser,FDP
63,Sandra Bubendorfer-Licht,FDP
64,Matthias Büttner,AfD
65,Karlheinz Busen,FDP
66,Christoph Bernstiel,CDU
67,Christian Jung,FDP
68,Christian Lindner,FDP
69,Christine Aschenberg-Dugnus,FDP
7,AfD Bundestag,AfD
70,Cansel Kiziltepe,SPD
71,Caren Lay,The Left
72,Carina Konrad,FDP
74,Carsten Träger,SPD
75,CDU,CDU
76,Torsten Schweiger,CDU
77,CDU CSU Bundestag,CDU
78,Cem Özdemir,Greens
79,Christine Buchholz,The Left
8,Stephan Protschka,AfD
80,Charlotte Schneidewind-Hartnagel,Greens
81,Christian Sauter,FDP
82,Christian Kühn,Greens
83,Christian Dürr,FDP
84,Christian Hirte,CDU
85,Christian Lange,SPD
86,Christoph Ploß,CDU
87,Christian Wirth,AfD
88,Carl-Julius Cronenberg,FDP
89,Claudia Moll,SPD
9,Grigorios Aggelidis,FDP
90,Cornelia Möhring,The Left
91,Corinna Miazga,AfD
92,Christian Petry,SPD
93,Corinna Rüffer,Greens
94,CSU,CSU
96,Dagmar Freitag,SPD
97,Daniela Kluckert,FDP
98,Daniela Kolbe,SPD
99,Daniela Ludwig,CSU
