label,id,party
Dietlind Tiemann,122,CDU
Doris Achelwilm,117,The Left
Jürgen Trittin,244,Greens
Sarah Ryglewski,441,SPD
Wolfgang Stefinger,477,CSU
Rüdiger Lucassen,343,AfD
Silke Launert,126,CSU
Andreas Nick,123,CDU
Timon Gremmels,506,SPD
Andreas Scheuer,26,CSU
Rita Schwarzelühr-Sutter,434,SPD
Thomas Gebhart,500,CDU
Daniela Kolbe,98,SPD
Stefan Kaufmann,470,CDU
Dieter Janecek,115,Greens
Marco Bülow,315,Die PARTEI (ex-SPD)
Harald Ebner,129,Greens
Tabea Rößner,492,Greens
Beate Müller-Gemmeke,183,Greens
Peter Weiß,415,CDU
Petra Pau,417,The Left
Manfred Todtenhausen,369,FDP
Thomas Heilmann,501,CDU
Lisa Paus,299,Greens
Maik Beermann,306,CDU
Sören Bartol,461,SPD
Michael Grosse-Brömer,354,CDU
Olav Gutting,396,CDU
Kees de Vries,274,CDU
Canan Bayram,295,Greens
Jutta Krellmann,251,The Left
Monika Lazar,365,Greens
Andrew Ullmann,527,FDP
Manfred Behrens,308,CDU
Harald Weinberg,196,The Left
Katrin Göring-Eckardt,177,Greens
Christian Petry,92,SPD
Stefan Zierke,557,SPD
Klaus Ernst,137,The Left
Nina Warken,388,CDU
Martina Renner,331,The Left
Sonja Steffen,475,SPD
Stephan Brandner,468,AfD
Jochen Haug,233,AfD
Jörg Schneider,451,AfD
Ulrike Bahr,345,SPD
Matthias Gastel,337,Greens
Jana Schimke,222,CDU
Marcus Bühl,317,AfD
Michael Kießling,277,CSU
Sabine Poschmann,445,SPD
Josip Juratovic,240,SPD
Leif-Erik Holm,292,AfD
Christian Jung,67,FDP
Florian Post,156,SPD
Sören Pellmann,297,The Left
Leni Breymaier,293,SPD
Matthias W. Birkwald,375,The Left
Stephan Thomae,481,FDP
Gerold Otten,175,AfD
Frank Junge,250,SPD
Fritz Güntzler,152,CDU
Enrico Komning,135,AfD
Detlef Müller,373,SPD
Wolfgang Hellmich,204,SPD
Falko Mohrs,145,SPD
Stefan Keuter,471,AfD
Markus Grübel,181,CDU
Tino Chrupalla,507,AfD
Gökay Akbulut,11,The Left
Matthias Nölke,341,FDP
Sepp Müller,371,CDU
Mario Brandenburg,56,FDP
Rainer Kraft,120,AfD
Beatrix von Storch,45,AfD
Marc Bernhard,313,AfD
Michael Schrodi,364,SPD
Götz Frömming,185,AfD
Dirk Spaniel,112,AfD
Petr Bystron,418,AfD
Joe Weingarten,125,SPD
Birke Bull-Bischoff,54,The Left
Joana Cotar,232,AfD
Dirk Wiese,113,SPD
Mariana Harder-Kühnel,302,AfD
Stephan Pilsinger,482,CSU
Lothar Maier,422,AfD
Katrin Staffler,269,CSU
Reinhard Houben,213,FDP
Wieland Schinnenburg,553,FDP
Dirk Vöpel,538,SPD
Alexander Throm,13,CDU
Christoph Bernstiel,66,CDU
René Springer,431,AfD
Alice Weidel,18,AfD
Aydan Özoğuz,393,SPD
Johannes Steiniger,241,CDU
Rita Hagl-Kehl,435,SPD
Nils Schmid,386,SPD
Harald Weyel,191,AfD
AfD,6,AfD
Nina Scheer,387,SPD
Klaus Mindrup,280,SPD
Gottfried Curio,178,AfD
Bernd Riexinger,40,The Left
Udo Hemmelgarn,518,AfD
Achim Kessler,5,The Left
Sylvia Gabelmann,490,The Left
Gustav Herzog,188,SPD
Jens Brandenburg,225,FDP
Sandra Weeser,446,FDP
Christoph Meyer,353,FDP
Michael von Abercron,374,CDU
Sebastian Münzenmaier,442,AfD
Norbert Kleinwächter,389,AfD
Nicole Gohlke,382,The Left
Ulrike Schielke-Ziesing,531,AfD
Uli Grötsch,522,SPD
Corinna Miazga,91,AfD
Sybille Benning,489,CDU
Martin Hess,329,AfD
Andrej Hunko,28,The Left
Carina Konrad,72,FDP
Anita Schäfer,449,CDU
Daniela Wagner,100,Greens
Karl-Heinz Brunner,61,SPD
Marcus Weinberg,320,CDU
Oliver Krischer,397,Greens
Sandra Bubendorfer-Licht,63,FDP
Gregor Gysi,179,The Left
Thomas Hacker,192,FDP
Lukas Köhler,282,FDP
Sebastian Brehm,58,CSU
FDP Bundestag,149,FDP
Andreas Bleck,25,AfD
AfD Bundestag,7,AfD
Steffen Kotré,474,AfD
Olaf in der Beek,394,FDP
Thomas Seitz,495,AfD
Jens Kestner,276,AfD
Hartmut Ebbing,197,FDP
Jürgen Braun,247,AfD
Martin Sichert,330,AfD
Christian Wirth,87,AfD
Karsten Hilse,210,AfD
Hagen Reinhold,428,FDP
Christoph Ploß,86,CDU
Axel Knoerig,38,CDU
Bernd Reuther,433,FDP
Stefan Schmidt,450,Greens
Mario Mieruch,362,LKR (ex AfD)
Amira Mohamed Ali,21,The Left
Gerald Ullrich,169,FDP
Karlheinz Busen,65,FDP
Marc Biadacz,342,CDU
Alexander Müller,17,FDP
Claudia Müller,182,Greens
Katja Mast,267,SPD
Björn Simon,55,CDU
Eva Schreiber,344,The Left
Margit Stumpp,322,Greens
Hermann Gröhe,180,CDU
Fabian Jacobi,220,AfD
Michelle Müntefering,355,SPD
Judith Skudelny,245,FDP
Thomas Silberhorn,458,CSU
Erhard Grundl,136,Greens
Till Mansmann,505,FDP
Kirsten Kappert-Gonther,278,Greens
Katharina Willkomm,253,FDP
Dagmar Schmidt,108,SPD
Friedrich Straetmanns,168,The Left
Katja Keul,265,Greens
Bijan Djir-Sarai,116,FDP
Stefan Rouenhoff,472,CDU
Carsten Schneider,452,SPD
Bettina Hoffmann,53,Greens
Mechthild Heil,349,CDU
Martin Neumann,1,FDP
Grigorios Aggelidis,9,FDP
Angelika Glöckner,2,SPD
Frank Müller-Rosentritt,496,FDP
Manuela Rottmann,309,Greens
Ulrich Lechte,530,FDP
Nicole Westig,383,FDP
Peter Boehringer,411,AfD
Karsten Klein,346,FDP
Jan Metzler,224,CDU
Bruno Hollnagel,124,AfD
Christian Sauter,81,FDP
Markus Herbrand,205,FDP
Ulla Ihnen,523,FDP
Britta Dassler,60,FDP
Michael Espendiller,127,AfD
Jörn König,235,AfD
Matthias Büttner,64,AfD
Paul Podolay,405,AfD
Frank Magnitz,158,AfD
Annalena Baerbock,3,Greens
Michael Gerdes,173,SPD
Martin Rabanus,332,SPD
Johannes Fechner,150,SPD
Ralf Kapschack,436,SPD
Dietmar Nietan,111,SPD
Philipp Amthor,419,CDU
Wilfried Oellers,549,CDU
Christian von Stetten,95,CDU
Michael Hennrich,359,CDU
Ulrich Lange,529,CSU
Anton Hofreiter,513,Greens
Norbert Altenkamp,378,CDU
Dietrich Monstadt,347,CDU
Uwe Feiler,535,CDU
Hansjörg Müller,370,AfD
Nezahat Baradari,379,SPD
Wolfgang Schäuble,551,CDU
Karl A. Lamers,261,CDU
Alexander Gauland,16,AfD
